3711,Burlington International Airport
3712,Jacksonville International Airport
3713,Durango La Plata County Airport
3714,Washington Dulles International Airport
3715,Easterwood Field
3716,Felts Field
3717,General Mitchell International Airport
3718,Abilene Regional Airport
3719,Columbia Regional Airport
3720,Portland International Airport
3721,Dade Collier Training and Transition Airport
3722,Palm Beach International Airport
3723,Fort Worth Meacham International Airport
3724,Ogdensburg International Airport
3725,Cape Cod Coast Guard Air Station
3726,Boeing Field King County International Airport
3727,Lackland Air Force Base
3729,Des Moines International Airport
3730,Coastal Carolina Regional Airport
3731,San Diego International Airport
3732,Monroe Regional Airport
3733,Shaw Air Force Base
3734,Ontario International Airport
3735,Majors Airport
3736,Roswell International Air Center Airport
3737,Coleman A. Young Municipal Airport
3738,Brownsville South Padre Island International Airport
3739,Dothan Regional Airport
3740,Cape May County Airport
3741,Fallon Naval Air Station
3742,Selfridge Air National Guard Base Airport
3743,Four Corners Regional Airport
3744,Corpus Christi International Airport
3745,Syracuse Hancock International Airport
3746,Naval Air Station Key West/Boca Chica Field
3747,Chicago Midway International Airport
3748,Norman Y. Mineta San Jose International Airport
3749,Lea County Regional Airport
3750,Northeast Philadelphia Airport
3751,Denver International Airport
3752,Philadelphia International Airport
3753,Sioux Gateway Col. Bud Day Field
3754,Middle Georgia Regional Airport
3755,Truth Or Consequences Municipal Airport
3756,Palmdale Regional/USAF Plant 42 Airport
3757,Randolph Air Force Base
3758,El Centro NAF Airport (Vraciu Field)
3759,John Glenn Columbus International Airport
3760,Drake Field
3761,Henry Post Army Air Field (Fort Sill)
3762,Princeton Municipal Airport
3763,Wright-Patterson Air Force Base
3765,Chandler Municipal Airport
3766,Mineral Wells Airport
3767,Mc Connell Air Force Base
3768,New Orleans NAS JRB/Alvin Callender Field
3769,Beaufort County Airport
3770,Texarkana Regional Webb Field
3771,Plattsburgh International Airport
3772,Phillips Army Air Field
3773,Tucumcari Municipal Airport
3775,Robert Gray  Army Air Field Airport
3776,Black Rock Airport
3777,Bellingham International Airport
3778,Millington-Memphis Airport
3779,Elkins-Randolph Co-Jennings Randolph Field
3780,Hartford Brainard Airport
3781,North Central State Airport
3782,Mobile Regional Airport
3783,Moffett Federal Airfield
3784,Santa Fe Municipal Airport
3786,Beauregard Regional Airport
3788,Nogales International Airport
3789,Mac Dill Air Force Base
3790,Scott AFB/Midamerica Airport
3791,Opa-locka Executive Airport
3792,Del Rio International Airport
3793,Southwest Florida International Airport
3795,Muir Army Air Field (Fort Indiantown Gap) Airport
3797,John F Kennedy International Airport
3798,Homestead ARB Airport
3799,Riverside Municipal Airport
3800,Sherman Army Air Field
3801,Wallops Flight Facility Airport
3802,Holloman Air Force Base
3803,Willow Grove Naval Air Station/Joint Reserve Base
3804,Cheyenne Regional Jerry Olson Field
3805,Stockton Metropolitan Airport
3806,Charleston Air Force Base-International Airport
3807,Reno Tahoe International Airport
3809,Willow Run Airport
3810,Vandenberg Air Force Base
3811,Birmingham-Shuttlesworth International Airport
3812,Lakehurst Maxfield Field Airport
3814,Nellis Air Force Base
3815,March ARB Airport
3816,Modesto City Co-Harry Sham Field
3817,Sacramento International Airport
3818,Waukegan National Airport
3819,City of Colorado Springs Municipal Airport
3820,Buffalo Niagara International Airport
3821,Griffing Sandusky Airport
3822,Snohomish County (Paine Field) Airport
3823,Mountain Home Air Force Base
3824,Cedar City Regional Airport
3825,Bradley International Airport
3826,Mc Allen Miller International Airport
3827,Norfolk Naval Station (Chambers Field)
3828,Westover ARB/Metropolitan Airport
3829,Lubbock Preston Smith International Airport
3830,Chicago O'Hare International Airport
3831,Boca Raton Airport
3833,Quantico MCAF /Turner field
3834,Cannon Air Force Base
3836,Offutt Air Force Base
3838,Watertown International Airport
3839,Palm Springs International Airport
3840,Rick Husband Amarillo International Airport
3841,Fort Dodge Regional Airport
3842,Barksdale Air Force Base
3843,Topeka Regional Airport - Forbes Field
3844,Cotulla-La Salle County Airport
3845,Wilmington International Airport
3846,Baton Rouge Metropolitan Airport
3847,Meridian Naval Air Station
3848,Tyler Pounds Regional Airport
3849,Baltimore/Washington International Thurgood Marshall Airport
3850,Hobart Regional Airport
3852,Alexandria International Airport
3853,Condron Army Air Field
3855,Tulsa International Airport
3857,Long Island Mac Arthur Airport
3858,Minneapolis-St Paul International/Wold-Chamberlain Airport
3859,New Castle Airport
3861,Louis Armstrong New Orleans International Airport
3862,Portland International Jetport Airport
3863,Will Rogers World Airport
3864,Albany International Airport
3866,Langley Air Force Base
3867,John Wayne Airport-Orange County Airport
3868,Columbus Air Force Base
3869,Kendall-Tamiami Executive Airport
3870,Oceana Naval Air Station
3871,Grissom Air Reserve Base
3872,Casper-Natrona County International Airport
3873,Destin-Ft Walton Beach Airport
3874,Craig Field
3875,Key West International Airport
3876,Charlotte Douglas International Airport
3877,McCarran International Airport
3878,Orlando International Airport
3879,Florence Regional Airport
3880,Great Falls International Airport
3881,Youngstown Warren Regional Airport
3883,Mc Minnville Municipal Airport
3884,Robins Air Force Base
3944,Pullman Moscow Regional Airport
3945,Lewiston Nez Perce County Airport
3946,Elmira Corning Regional Airport
3947,Ithaca Tompkins Regional Airport
3948,Monterey Peninsula Airport
3949,Santa Barbara Municipal Airport
3950,Daytona Beach International Airport
3993,Downtown-Manhattan/Wall St Heliport
4006,Tweed New Haven Airport
4007,Asheville Regional Airport
4008,Piedmont Triad International Airport
4009,Joe Foss Field Airport
4011,Manchester-Boston Regional Airport
4012,Naples Municipal Airport
4014,Louisville International Standiford Field
4015,Charlottesville Albemarle Airport
4016,Roanoke–Blacksburg Regional Airport
4017,Blue Grass Airport
4018,Evansville Regional Airport
4019,Albuquerque International Sunport
4020,Gallatin Field
4021,Billings Logan International Airport
4022,Bert Mooney Airport
4023,Cherry Capital Airport
4025,Hancock County-Bar Harbor Airport
4026,Knox County Regional Airport
4027,Jackson Hole Airport
4028,Chicago Rockford International Airport
4034,Greenville Spartanburg International Airport
4037,Central Illinois Regional Airport at Bloomington-Normal
4038,Gulfport Biloxi International Airport
4039,Kalamazoo Battle Creek International Airport
4040,Toledo Express Airport
4041,Fort Wayne International Airport
4042,Decatur Airport
4043,The Eastern Iowa Airport
4044,La Crosse Municipal Airport
4045,Central Wisconsin Airport
4046,General Wayne A. Downing Peoria International Airport
4047,Appleton International Airport
4048,Rochester International Airport
4049,University of Illinois Willard Airport
4050,Manhattan Regional Airport
4058,Venango Regional Airport
4063,Grand Junction Regional Airport
4064,St George Municipal Airport
4065,David Wayne Hooks Memorial Airport
4066,Port O'Connor Private Heliport
4067,Sarasota Bradenton International Airport
4071,Van Nuys Airport
4072,Quad City International Airport
4073,Panama City-Bay Co International Airport
4083,Bismarck Municipal Airport
4084,Telluride Regional Airport
4087,Rapid City Regional Airport
4088,Mc Clellan-Palomar Airport
4089,Bishop International Airport
4098,Redding Municipal Airport
4099,Mahlon Sweet Field
4100,Idaho Falls Regional Airport
4101,Rogue Valley International Medford Airport
4103,Roberts Field
4106,Victoria Harbour Seaplane Base
4112,Akron Canton Regional Airport
4113,Huntsville International Carl T Jones Field
4114,Mid Ohio Valley Regional Airport
4115,Montgomery Regional (Dannelly Field) Airport
4116,Tri-Cities Regional TN/VA Airport
4117,Barkley Regional Airport
4124,Page Municipal Airport
4127,Glacier Park International Airport
4128,MBS International Airport
4129,Greater Binghamton/Edwin A Link field
4136,Blythe Airport
4167,Orlando Sanford International Airport
4169,John Murtha Johnstown Cambria County Airport
4216,Missoula International Airport
4219,Grand Canyon National Park Airport
4220,Sugar Land Regional Airport
4222,Centennial Airport
4223,Clovis Municipal Airport
4224,Fort Stockton Pecos County Airport
4225,Las Vegas Municipal Airport
4226,West Houston Airport
4227,La Junta Municipal Airport
4228,Las Cruces International Airport
4229,Stephens County Airport
4230,Draughon Miller Central Texas Regional Airport
4231,Ozona Municipal Airport
4250,Eagle County Regional Airport
4253,Cuyahoga County Airport
4254,Mansfield Lahm Regional Airport
4255,Columbus Metropolitan Airport
4256,Lawton Fort Sill Regional Airport
4257,Northern Colorado Regional Airport
4261,Flagstaff Pulliam Airport
4262,Lake Tahoe Airport
4263,Joslin Field Magic Valley Regional Airport
4265,Martha's Vineyard Airport
4268,Concord Municipal Airport
4270,Groton New London Airport
4271,St Cloud Regional Airport
4273,Golden Triangle Regional Airport
4275,Bowerman Airport
4276,Erie International Tom Ridge Field
4278,Barnstable Municipal Boardman Polando Field
4280,Sedona Airport
4284,Morgantown Municipal Walter L. Bill Hart Field
4285,Yeager Airport
4286,Wilkes Barre Scranton International Airport
4287,Bemidji Regional Airport
4292,Hector International Airport
4293,Charles B. Wheeler Downtown Airport
4296,Gillette Campbell County Airport
4298,El Toro Marine Corps Air Station
4318,University Park Airport
4335,Key Field
4336,Abraham Lincoln Capital Airport
4338,Cortez Municipal Airport
4339,Yampa Valley Airport
4340,Gallup Municipal Airport
4341,Liberal Mid-America Regional Airport
4342,Lamar Municipal Airport
4343,Renner Field-Goodland Municipal Airport
4344,Yellowstone Regional Airport
4348,Springfield Branson National Airport
4354,Joplin Regional Airport
4355,Lehigh Valley International Airport
4356,Northwest Arkansas Regional Airport
4359,South Bend Regional Airport
4383,Smith Field
4384,California Redwood Coast-Humboldt County Airport
4386,Albert J Ellis Airport
4387,Tuscaloosa Regional Airport
4388,Dubuque Regional Airport
5479,Fort Frances Municipal Airport
5500,Vancouver Harbour Water Aerodrome
5511,St Georges Airport
5613,Los Alamitos Army Air Field
5627,Nasa Shuttle Landing Facility Airport
5714,Aberdeen Regional Airport
5715,Southwest Georgia Regional Airport
5716,Athens Ben Epps Airport
5717,Alamogordo White Sands Regional Airport
5718,Waterloo Regional Airport
5719,Walla Walla Regional Airport
5720,Alpena County Regional Airport
5721,Watertown Regional Airport
5722,Bradford Regional Airport
5723,Western Neb. Rgnl/William B. Heilig Airport
5724,Raleigh County Memorial Airport
5725,Brunswick Golden Isles Airport
5726,Southeast Iowa Regional Airport
5727,Jack Mc Namara Field Airport
5728,Cape Girardeau Regional Airport
5729,Chippewa County International Airport
5730,North Central West Virginia Airport
5731,William R Fairchild International Airport
5732,Houghton County Memorial Airport
5733,Dodge City Regional Airport
5734,DuBois Regional Airport
5735,Chippewa Valley Regional Airport
5736,Elko Regional Airport
5737,New Bedford Regional Airport
5738,Fayetteville Regional Grannis Field
5739,Wokal Field Glasgow International Airport
5740,Central Nebraska Regional Airport
5741,Memorial Field
5742,Tri-State/Milton J. Ferguson Field
5744,Kirksville Regional Airport
5745,Jamestown Regional Airport
5746,Laramie Regional Airport
5747,Arnold Palmer Regional Airport
5748,North Platte Regional Airport Lee Bird Field
5749,Lebanon Municipal Airport
5750,Crater Lake-Klamath Regional Airport
5751,Lancaster Airport
5752,Lewistown Municipal Airport
5753,Lynchburg Regional Preston Glenn Field
5754,Muskegon County Airport
5755,Frank Wiley Field
